Thai,English,Type
เอก,major,N
เอกชน,private,N
เอกสาร,document,N
เอกอัครราชทูต,ambassador,N
เอง,myself,"Pron, Adv"
เอเซีย ,Asia ,N
เอ็ด,Ed,N
"เอดส์, โรคเอดส์","AIDS, AIDS",N
เอว,waist,N
เออ,Yes!,Interjection
เอา,take,V
เอาไป,Take it away.,V
เอามา,Bring it.,V
เอาไหม,Do you want it?,V
เอาออก,remove,V
แอบ,hide,V
แอบกิน,Secretly eating,V
แอบดู,Peeping,V
แอปเปิล,apple,N
แอฟริกา,Africa,N
แอร์,air conditioner,N
โอกาส,chance,N
โอเค,okay,Adj
โอน,transfer,V
โอเลี้ยง,Oliang,N
ฮ่องกง ,Hong Kong ,N
ฮอลันดา,Dutch,N
ฮะ,Ha!,Adv
ฮ่ะ,Yep!,Adv
ฮัลโหล,hello,V
แฮม,ham,N
